trade_id,opened_at,closed_at,asset,side,status,entry,stop_loss,take_profit_1,take_profit_2,exit_price,exit_reason,result,r_multiple,confidence,source,notes
BTC-LONG-2026-07-09T19:00:00,2026-07-10T01:00:00,2026-07-10T04:00:00,BTC,LONG,closed,63469.4547,61636.05,64099.2961,64519.1904,64099.2961,TP1,win,0.34,0.86,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 63,469.4547"
GOLD-LONG-2026-07-10T08:00:00,2026-07-10T08:00:00,2026-07-10T09:00:00,GOLD,LONG,closed,4138.313,4054.0649,4156.621,4168.8263,4156.621,TP1,win,0.22,0.86,Twelve Data XAU/USD 1h candles (live),"Triggered from pending setup at 4,138.3130"
BTC-LONG-2026-07-10T06:00:00,2026-07-10T08:00:00,2026-07-10T09:00:00,BTC,LONG,closed,64169.7675,62403.42,64685.6925,65029.6425,62403.42,SL,loss,-1.0,0.86,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 64,169.7675"
BTC-LONG-2026-07-10T17:00:00,2026-07-14T15:00:00,2026-07-14T16:00:00,BTC,LONG,closed,64687.596,62865.01,65232.8771,65596.3978,62865.01,SL,loss,-1.0,0.59,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 64,687.5960"
GOLD-SHORT-2026-07-11T03:00:00,2026-07-13T08:00:00,2026-07-13T09:00:00,GOLD,SHORT,closed,4075.8901,4137.018,4053.3676,4038.3526,4137.018,SL,loss,-1.0,0.72,Twelve Data XAU/USD 1h candles (live),"Triggered from pending setup at 4,075.8901"
BTC-LONG-2026-07-15T07:00:00,2026-07-15T13:00:00,2026-07-15T14:00:00,BTC,LONG,closed,65250.1715,62400.35,65697.8154,65996.2447,62400.35,SL,loss,-1.0,0.72,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 65,250.1715"
GOLD-SHORT-2026-07-15T17:00:00,2026-07-16T22:00:00,2026-07-16T23:00:00,GOLD,SHORT,closed,4011.9946,4099.2007,3995.4192,3984.3689,3995.4192,TP1,win,0.19,0.41,Twelve Data XAU/USD 1h candles (live),"Triggered from pending setup at 4,011.9946"
BTC-LONG-2026-07-15T20:00:00,2026-07-20T15:00:00,2026-07-20T16:00:00,BTC,LONG,closed,65577.8898,64431.11,66129.5834,66497.3791,64431.11,SL,loss,-1.0,0.59,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 65,577.8898"
GOLD-SHORT-2026-07-17T23:00:00,2026-07-17T23:00:00,,GOLD,SHORT,pending,3961.0565,4016.7095,3938.5068,3923.4737,,,,,0.59,Twelve Data XAU/USD 1h candles (live),"Pending trigger: Short only after price loses 3,961.06"
BTC-LONG-2026-07-21T21:00:00,2026-08-19T15:00:00,2026-08-19T16:00:00,BTC,LONG,closed,66938.3679,65046.0,67370.9036,67659.2607,67370.9036,TP1,win,0.23,0.59,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 66,938.3679"
BTC-SHORT-2026-08-22T22:00:00,2026-08-22T22:00:00,2026-08-22T23:00:00,BTC,SHORT,closed,76453.1412,78828.37,75896.3776,75525.2019,75896.3776,TP1,win,0.23,0.72,Coinbase BTC-USD 1h candles (live),"Triggered from pending setup at 76,453.1412"
