timestamp,candidate_id,asset,symbol,strategy_version,candle_close_time,candle_time,left_asset,right_asset,left_close,right_close,hedge_beta,spread,spread_zscore_60,passed,rejection_reasons,signal
2026-07-20T15:49:52.726726+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784548799999,2026-07-20T11:59:59.999000+00:00,BTC,ETH,65002.01,1893.2,23.749164061434143,20040.09259889288,-1.2497099157303926,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-20T18:51:44.362534+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784570400000,2026-07-20T18:00:00+00:00,BTC,ETH,65273.7,1899.11,12.437945139154275,41652.674006780726,1.4802492676124481,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-20T20:01:36.094652+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784574000000,2026-07-20T19:00:00+00:00,BTC,ETH,65099.39,1898.8,12.575966013251856,41220.145734037374,0.7002473013312827,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-20T21:19:07.024481+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784581200000,2026-07-20T21:00:00+00:00,BTC,ETH,65292.27,1904.29,12.781944323229268,40951.741244717734,1.1429128266090312,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-20T22:17:09.202912+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784584800000,2026-07-20T22:00:00+00:00,BTC,ETH,65154.8,1899.25,12.92065232965392,40615.25106290479,0.7696313507835963,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-20T23:18:37.083890+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784588400000,2026-07-20T23:00:00+00:00,BTC,ETH,65159.46,1897.94,13.052334235534847,40386.91276100899,0.825375218046203,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-20T23:27:31.204841+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784588400000,2026-07-20T23:00:00+00:00,BTC,ETH,65166.15,1901.76,13.049834277740809,40348.49716396364,0.6288245352850939,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-21T00:15:39.965509+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784592000000,2026-07-21T00:00:00+00:00,BTC,ETH,65121.63,1904.2,13.19583173180687,39994.12721629336,0.23443984453175098,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-21T03:50:05.601446+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784602800000,2026-07-21T03:00:00+00:00,BTC,ETH,65453.29,1924.5,13.688916311704848,39108.97055812403,0.3315796889920052,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
2026-07-21T06:19:33.059339+00:00,NEW_BTC_ETH_12H_PAIR,BTC_ETH_PAIR,BTCUSDT/ETHUSDT,strategy-lab-v1.0.0:NEW_BTC_ETH_12H_PAIR,1784613600000,2026-07-21T06:00:00+00:00,BTC,ETH,65674.42,1929.13,14.184176920925138,38311.29877653568,0.9201991913877448,False,RESEARCH_ONLY_NO_PAIR_EXECUTION,PAIR_NORMAL
