asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
AUDUSD,1,0.0,-37.61371365973436,-2.4058192628721016,0.0,0.0,0.0,-37.61371365973436,8.0,0,1,19.982368654995263,4.0,True,"{""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 54, ""OPEN_TRADE_EXISTS"": 19, ""RSI_NOT_BELOW_40"": 47, ""TARGET_NOT_ABOVE_ENTRY"": 31}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,1.0
BNB,3,0.6666666666666666,-26.637544164279078,-0.028546714611021356,0.7385037342472307,-0.010110527028103345,37.61416206052896,-101.865868285337,4.333333425925926,2,1,60.27041451019087,12.047356327968991,True,"{""CLOSE_NOT_ABOVE_MA200"": 103, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 136, ""OPEN_TRADE_EXISTS"": 11, ""RSI_NOT_BELOW_40"": 98, ""TARGET_NOT_ABOVE_ENTRY"": 79}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,28.95
BRENT_FUT,1,1.0,132.22861806584382,1.3222861806584385,132.22861806584382,0.0,132.22861806584382,0.0,5.0,1,0,14.555593084308947,2.8817617746317588,True,"{""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 58, ""OPEN_TRADE_EXISTS"": 4, ""RSI_NOT_BELOW_40"": 54, ""TARGET_NOT_ABOVE_ENTRY"": 34}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,70.83
BTC,7,0.5714285714285714,-60.04606355139708,-0.08712630932977637,0.7678443225611667,-0.021989256221503453,49.649904644519175,-86.21522737649127,2.4305714285714286,2,2,139.92147133979105,27.96831918640054,True,"{""CLOSE_NOT_ABOVE_MA200"": 85, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 222, ""OPEN_TRADE_EXISTS"": 28, ""RSI_NOT_BELOW_40"": 161, ""TARGET_NOT_ABOVE_ENTRY"": 118}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,31.17
COIN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 37, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 53, ""RSI_NOT_BELOW_40"": 35, ""TARGET_NOT_ABOVE_ENTRY"": 19}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,20.0
COPPER_FUT,3,0.3333333333333333,-164.5928252328797,-0.715282178116364,0.1492894479818515,-0.019291965194806363,28.88405693628421,-96.73844108458195,3.3333333333333335,1,2,59.818910293457336,11.984736841679354,True,"{""CLOSE_NOT_ABOVE_MA200"": 19, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 51, ""OPEN_TRADE_EXISTS"": 6, ""RSI_NOT_BELOW_40"": 38, ""TARGET_NOT_ABOVE_ENTRY"": 26}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,11.83
DOGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 197, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 223, ""RSI_NOT_BELOW_40"": 164, ""TARGET_NOT_ABOVE_ENTRY"": 100}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,20.0
DXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 59, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 56, ""RSI_NOT_BELOW_40"": 46, ""TARGET_NOT_ABOVE_ENTRY"": 33}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,20.0
ETH,6,0.0,-682.4482869235012,-1.1962390638460263,0.0,-0.05719124965896555,0.0,-113.74138115391686,6.002333333333333,0,6,101.30755798617534,20.37773974302253,True,"{""CLOSE_NOT_ABOVE_MA200"": 27, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 220, ""OPEN_TRADE_EXISTS"": 44, ""RSI_NOT_BELOW_40"": 164, ""TARGET_NOT_ABOVE_ENTRY"": 133}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,2.34
EURUSD,2,0.0,-46.286885734838066,-2.2229279340719312,0.0,-0.0013765014657583518,0.0,-23.143442867419033,2.5,0,2,39.92850822411644,7.986973320325431,True,"{""CLOSE_NOT_ABOVE_MA200"": 4, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 51, ""DAILY_LOSS_GUARD"": 9, ""OPEN_TRADE_EXISTS"": 3, ""RSI_NOT_BELOW_40"": 43, ""TARGET_NOT_ABOVE_ENTRY"": 30}",MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,OLD_TEST,Mean Reversion,Relaxed pullback,1h,ALL,AUTO_QUARANTINE,,True,INSUFFICIENT_SAMPLE,1.86
