timestamp,asset,symbol,strategy_version,equity,open_trade,last_evaluated_close_time,missed_run_count
2026-07-20T23:18:37.083890+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784588400000,0
2026-07-20T23:27:31.204841+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784588400000,0
2026-07-21T00:15:39.965509+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784592000000,0
2026-07-21T03:50:05.601446+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784602800000,2
2026-07-21T06:19:33.059339+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784613600000,4
2026-07-21T09:06:43.145165+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784624400000,6
2026-07-21T11:17:40.200326+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784631600000,7
2026-07-21T12:47:51.990604+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784635200000,7
2026-07-21T14:50:35.011279+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784642400000,8
2026-07-21T16:10:45.426719+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784649600000,9
2026-07-21T17:44:44.183080+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784653200000,9
2026-07-21T18:57:48.786643+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784656800000,9
2026-07-21T20:19:38.477197+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784664000000,10
2026-07-21T21:37:00.854241+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784667600000,10
2026-07-21T22:32:41.968858+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784671200000,10
2026-07-21T23:34:16.231625+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784674800000,10
2026-07-22T01:02:31.096716+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784682000000,11
2026-07-22T04:26:45.114153+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784692800000,13
2026-07-22T07:09:43.413591+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784703600000,15
2026-07-22T09:38:04.108641+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784710800000,16
2026-07-22T11:29:02.911464+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784718000000,17
2026-07-22T13:02:04.910890+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784725200000,18
2026-07-22T15:10:47.196087+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784732400000,19
2026-07-22T15:14:08.406569+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784732400000,19
2026-07-22T16:44:14.253718+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784736000000,19
2026-07-22T17:55:14.115146+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784739600000,19
2026-07-22T19:05:29.306272+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784746800000,20
2026-07-22T20:19:25.205806+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784750400000,20
2026-07-22T21:33:27.469540+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784754000000,20
2026-07-22T22:37:45.958063+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784757600000,20
2026-07-22T23:37:48.495488+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784761200000,20
2026-07-23T01:09:39.278477+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784768400000,21
2026-07-23T04:31:49.474985+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784779200000,23
2026-07-23T07:10:43.433740+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784790000000,25
2026-07-23T09:35:58.298691+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784797200000,26
2026-07-23T11:29:20.273219+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784804400000,27
2026-07-23T13:05:25.132141+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784811600000,28
2026-07-23T15:21:17.053845+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784818800000,29
2026-07-23T16:52:19.548664+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784822400000,29
2026-07-23T18:04:39.973854+00:00,BTC,BTCUSDT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,10000.0,False,1784829600000,30
