<<<<<<< HEAD,timestamp,asset,symbol,strategy_version,equity,open_trade,last_evaluated_close_time,missed_run_count
timestamp,,,,,,,,
2026-07-19T21:14:20.693242+00:00,,,,,,,,
2026-07-19T22:10:44.118814+00:00,,,,,,,,
2026-07-19T23:11:13.385241+00:00,,,,,,,,
2026-07-20T00:11:48.386992+00:00,,,,,,,,
2026-07-20T04:04:33.948188+00:00,,,,,,,,
2026-07-20T07:23:39.375734+00:00,,,,,,,,
2026-07-20T10:23:53.063888+00:00,,,,,,,,
2026-07-20T12:29:53.097866+00:00,,,,,,,,
2026-07-20T14:41:31.144159+00:00,,,,,,,,
2026-07-20T16:14:53.327382+00:00,,,,,,,,
=======,,,,,,,,
timestamp,,,,,,,,
2026-07-20T15:44:29.571863+00:00,,,,,,,,
2026-07-20T15:46:52.438667+00:00,,,,,,,,
2026-07-20T15:49:52.726726+00:00,,,,,,,,
>>>>>>> cb55a43 (Fix RMR and pair strategy lab reports),,,,,,,,
,2026-07-20T18:51:44.362534+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784563200000,0
,2026-07-20T20:01:36.094652+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784577600000,0
,2026-07-20T21:19:07.024481+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784577600000,0
,2026-07-20T22:17:09.202912+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784577600000,0
,2026-07-20T23:18:37.083890+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784577600000,0
,2026-07-20T23:27:31.204841+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784577600000,0
,2026-07-21T00:15:39.965509+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784592000000,0
,2026-07-21T03:50:05.601446+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784592000000,0
,2026-07-21T06:19:33.059339+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784606400000,0
,2026-07-21T09:06:43.145165+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784620800000,0
,2026-07-21T11:17:40.200326+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784620800000,0
,2026-07-21T12:47:51.990604+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784635200000,0
,2026-07-21T14:50:35.011279+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784635200000,0
,2026-07-21T16:10:45.426719+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784649600000,0
,2026-07-21T17:44:44.183080+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784649600000,0
,2026-07-21T18:57:48.786643+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784649600000,0
,2026-07-21T20:19:38.477197+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784664000000,0
,2026-07-21T21:37:00.854241+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784664000000,0
,2026-07-21T22:32:41.968858+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784664000000,0
,2026-07-21T23:34:16.231625+00:00,EURUSD,EURUSD=X,strategy-lab-v1.0.0:RMR_LONG_ONLY_EURUSD_4H,10007.182252027678,False,1784664000000,0
