trade_id,candidate_id,family,asset,symbol,side,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789671600000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,OPEN,2026-09-17T19:00:00+00:00,1789671600000,732.086388,728.251388,737.8388880000001,FIXED_150R,13.659590130229274,10000.0,52.38452814942976,10.0,2.0,1.5,65.65656565656566,725.7305,721.2510380903523,721.9841,3.835000000000004,ENTRY,2026-09-17T21:17:35.519180+00:00,,,,,,,,,,,
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789671600000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,CLOSED,2026-09-17T19:00:00+00:00,1789671600000,732.086388,728.251388,737.8388880000001,FIXED_150R,13.659590130229274,10000.0,52.38452814942976,10.0,2.0,1.5,65.65656565656566,725.7305,721.2510380903523,721.9841,3.835000000000004,EXIT,2026-09-18T00:08:57.636885+00:00,2026-09-17T23:00:00+00:00,TARGET,737.6913202224001,76.56107686569997,10.0765610768657,20.0765610768657,2.0,56.48451578883427,1.078267148416591,10056.484515788834,4.0
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789686000000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,OPEN,2026-09-17T23:00:00+00:00,1789686000000,737.687508,733.6532222857143,743.7389365714286,FIXED_150R,13.632445184077639,10056.484515788834,54.997178856907524,10.056484515788833,2.0,1.5,73.86990077177506,727.9040000000001,719.54686795605,721.7976999999998,4.034285714285716,ENTRY,2026-09-18T00:08:57.636885+00:00,,,,,,,,,,,
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789686000000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,CLOSED,2026-09-17T23:00:00+00:00,1789686000000,737.687508,733.6532222857143,743.7389365714286,FIXED_150R,13.632445184077639,10056.484515788834,54.997178856907524,10.056484515788833,2.0,1.5,73.86990077177506,727.9040000000001,719.54686795605,721.7976999999998,4.034285714285716,EXIT,2026-09-18T07:21:54.848081+00:00,2026-09-18T02:00:00+00:00,TARGET,743.5901887841143,80.46797222854654,10.136952488017382,20.193437003806217,2.0,60.274535224740326,1.0959568559246193,10116.759051013574,3.0
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789696800000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,OPEN,2026-09-18T02:00:00+00:00,1789696800000,747.969564,743.5788497142858,754.5556354285713,FIXED_150R,13.52562930089168,10116.759051013574,59.387173794700196,10.116759051013576,2.0,1.5,81.69154228855702,730.6375,717.3472481212722,721.83175,4.390714285714296,ENTRY,2026-09-18T07:21:54.848081+00:00,,,,,,,,,,,
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789696800000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,CLOSED,2026-09-18T02:00:00+00:00,1789696800000,747.969564,743.5788497142858,754.5556354285713,FIXED_150R,13.52562930089168,10116.759051013574,59.387173794700196,10.116759051013576,2.0,1.5,81.69154228855702,730.6375,717.3472481212722,721.83175,4.390714285714296,EXIT,2026-09-18T07:21:54.848081+00:00,2026-09-18T06:00:00+00:00,TARGET,754.4047243014857,87.03959272970947,10.203798643743285,20.32055769475686,2.0,66.71903503495261,1.1234586657650767,10183.478086048526,4.0
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789711200000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,OPEN,2026-09-18T06:00:00+00:00,1789711200000,754.560882,750.1937391428571,761.1115962857143,FIXED_150R,13.495899839197504,10183.478086048526,58.93852258346713,10.183478086048526,2.0,1.5,93.81409196162751,736.2085,716.570932660839,722.3002,4.3671428571428725,ENTRY,2026-09-18T07:21:54.848081+00:00,,,,,,,,,,,
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-PAXG-1789711200000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,PAXG,PAXGUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,OPEN,2026-09-18T06:00:00+00:00,1789711200000,4390.087842,4377.2206991428575,4409.388556285714,FIXED_150R,2.277858749050516,10000.0,29.309533932424728,10.0,2.0,1.5000000000000353,66.00210970464155,4353.532499999999,4327.683640934223,4336.429099999999,12.86714285714288,ENTRY,2026-09-18T07:21:54.848081+00:00,,,,,,,,,,,
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789711200000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,CLOSED,2026-09-18T06:00:00+00:00,1789711200000,754.560882,750.1937391428571,761.1115962857143,FIXED_150R,13.495899839197504,10183.478086048526,58.93852258346713,10.183478086048526,2.0,1.5,93.81409196162751,736.2085,716.570932660839,722.3002,4.3671428571428725,EXIT,2026-09-18T12:56:01.367183+00:00,2026-09-18T09:00:00+00:00,SL,750.0437003950285,-60.96343049616057,10.122514655552367,20.305992741600893,2.0,-81.26942323776146,-1.3788846356416538,10102.208662810765,3.0
SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-PAXG-1789711200000,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,Momentum,PAXG,PAXGUSDT,LONG,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,CLOSED,2026-09-18T06:00:00+00:00,1789711200000,4390.087842,4377.2206991428575,4409.388556285714,FIXED_150R,2.277858749050516,10000.0,29.309533932424728,10.0,2.0,1.5000000000000353,66.00210970464155,4353.532499999999,4327.683640934223,4336.429099999999,12.86714285714288,EXIT,2026-09-18T12:56:01.367183+00:00,2026-09-18T09:00:00+00:00,SL,4376.345255003029,-31.303672025638505,9.968696327974362,19.968696327974364,2.0,-51.27236835361287,-1.7493409643368967,9948.727631646387,3.0
